Amount,MTTR,M_r,M_rf,PE,EPS,ROE,IPS,yyyymm,Beta,M_ExRet,M_vol,M_liq,M_high,M_skew,PEL1,EPSL1,ROEL1,IPSL1,MTTRL1,BetaL1,M_volL1,M_liqL1,M_highL1,M_skewL1
31087473.91,4.6005,-0.0463,0.002251,30.54,0.18,17.2736,1.37,200311,1.1527,-0.048551000000000004,0.0094233,-0.0026836977288793896,0.8836565096952909,-0.027095651559010597,32.02,0.18,17.2736,1.37,2.6864,1.1801,0.00306305,-0.0036625638477192695,0.8918558077436581,0.41723177693877456
82724785.9,11.0541,0.124,0.002046,34.32,0.18,17.2736,1.37,200312,1.1601,0.12195399999999999,0.00548837,0.0068015905409231905,0.9870689655172414,1.0201495059072592,30.54,0.18,17.2736,1.37,4.6005,1.1527,0.0094233,-0.0026836977288793896,0.8836565096952909,-0.027095651559010597
34867617.48,4.6249,0.0253,0.002046,32.13,0.18,17.2736,1.37,200401,0.9104,0.023254,0.0045950999999999995,0.001456780062779096,1.0014556040756915,0.6639976586211876,34.32,0.18,17.2736,1.37,11.0541,1.1601,0.00548837,0.0068015905409231905,0.9870689655172414,1.0201495059072592
166190084.71,18.7581,0.1584,0.001888,37.23,0.18,17.2736,1.37,200402,0.9722,0.156512,0.00876263,0.008368270342597423,1.204941860465116,1.0083682116834722,32.13,0.18,17.2736,1.37,4.6249,0.9104,0.0045950999999999995,0.001456780062779096,1.0014556040756915,0.6639976586211876
192881112.58,19.623,0.1192,0.001682,41.66,0.21,19.843,2.03,200403,1.0637,0.117518,0.01019203,0.006248170444464334,1.1194209891435465,0.8939124687627293,37.23,0.18,17.2736,1.37,18.7581,0.9722,0.00876263,0.008368270342597423,1.204941860465116,1.0083682116834722
125302743.64,12.1406,0.0157,0.001776,33.2,0.08,6.7584,0.75,200404,0.8649,0.013923999999999999,0.0074735999999999995,0.0008419926595275142,1.0129310344827587,0.17240263953555562,41.66,0.21,19.843,2.03,19.623,1.0637,0.01019203,0.006248170444464334,1.1194209891435465,0.8939124687627293
190123004.74,17.6656,0.1026,0.00202,36.61,0.08,6.7584,0.75,200405,0.8762,0.10058,0.014389309999999999,0.005382102578726848,1.0627659574468085,0.41981119372711784,33.2,0.08,6.7584,0.75,12.1406,0.8649,0.0074735999999999995,0.0008419926595275142,1.0129310344827587,0.17240263953555562
133410779.98,11.9815,-0.1041,0.002354,32.8,0.08,6.7584,0.75,200406,0.975,-0.106454,0.01110624,-0.005564183782649642,1.006006006006006,-1.1813961500781003,36.61,0.08,6.7584,0.75,17.6656,0.8762,0.014389309999999999,0.005382102578726848,1.0627659574468085,0.41981119372711784
62128840.7,5.9825,-0.0112,0.002402,25.88,0.2,15.6471,1.66,200407,0.9652,-0.013602,0.004626899999999999,-0.0006241389925067575,0.9303482587064675,-0.5820377384718511,32.8,0.08,6.7584,0.75,11.9815,0.975,0.01110624,-0.005564183782649642,1.006006006006006,-1.1813961500781003
42296619.56,4.2164,-0.0294,0.002377,25.12,0.2,15.6471,1.66,200408,0.9808,-0.031777,0.00381966,-0.0016742389223438337,0.900497512437811,-0.18410542086622295,25.88,0.2,15.6471,1.66,5.9825,0.9652,0.004626899999999999,-0.0006241389925067575,0.9303482587064675,-0.5820377384718511
225725177.4,21.1131,0.099,0.002008,27.61,0.2,15.6471,1.66,200409,0.963,0.09699200000000001,0.00943545,0.0051469135021053524,0.9711442786069651,1.4837589110047864,25.12,0.2,15.6471,1.66,4.2164,0.9808,0.00381966,-0.0016742389223438337,0.900497512437811,-0.18410542086622295
